"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
103,清华大学,人文学院,2026年清华大学人文学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/e32e7f55-6b03-4d90-aea8-a732d30cb9e3?yxsdm=069,2026-07-28,
104,清华大学,美术学院,2026年清华大学美术学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/0da75313-cee6-4a3f-901e-a49fa1d59405?yxsdm=080,2026-07-28,
105,清华大学,马克思主义学院,2026年清华大学马克思主义学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/e116bbf8-c7d6-48f2-ac7a-66649833eace?yxsdm=068,2026-07-28,
106,清华大学,教育学院,2026年清华大学教育学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/e4762250-1e39-4969-97ce-1ae0dbf4d42d?yxsdm=103,2026-07-28,
107,清华大学,法学院,2026年清华大学法学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/c38dd799-e8be-4e87-a270-ad6d3f6ceefb?yxsdm=066,2026-07-28,
108,中国人民大学,艺术学院,2026年中国人民大学艺术学院2027年推免生接收工作报名通知,http://art.ruc.edu.cn/info/1063/7029.htm,2026-07-25,
109,中国人民大学,哲学院,2026年中国人民大学哲学院2027年推免生接收工作报名通知,https://phi.ruc.edu.cn/zspy/yjs/yjszs/563f0c2af1f34e81a91b3a2b38c74938.htm,2026-07-20,
110,中国人民大学,国际文化交流学院,2026年中国人民大学国际文化交流学院2027年推免生接收工作报名通知,http://scsce.ruc.edu.cn/zsjy/zsxx/2fd64da15d6d4069be376e3cfea166df.htm,2026-07-20,
111,中国人民大学,国学院,2026年中国人民大学国学院2027年推免生接收工作报名通知,http://guoxue.ruc.edu.cn/wzsy/jw/6b9dc03c1d5d454489aca5b11ab51790.htm,2026-07-20,
112,厦门大学,新闻传播学院,2026年厦门大学新闻传播学院关于举办全国优秀大学生暑期夏令营通知,https://comm.xmu.edu.cn/info/1451/67002.htm,2026-07-01,
113,山西大学,体育学院,2026年山西大学体育学院关于举办优秀大学生暑期夏令营活动的通知,https://mp.weixin.qq.com/s/wAzEhNj9D7MNM_VnHJl4Vg,2026-07-01,
114,上海交通大学,教育学院,2026年上海交通大学教育学院第四届“国优计划”夏令营启动！2027级研究生优才夏令营公告发布！,https://mp.weixin.qq.com/s/mX5URa9DorfUB65tRlcnLw,2026-07-15,
115,中国人民大学,教育学院,2026年中国人民大学教育学院2027年推免生接收工作报名通知,http://soe.ruc.edu.cn/info/1130/3890.htm,2026-07-15,
116,上海交通大学,设计学院,2026年上海交通大学设计学院2027年全国优秀大学生创新设计营方案,https://designschool.sjtu.edu.cn/dynamic/notice/detail/6a4618c460c6145e85735c19,2026-07-15,
117,中国人民大学,体育部,2026年中国人民大学体育部2027年推免生接收工作报名通知,https://tiyu.ruc.edu.cn/xwgg/tzgg/e58685705d4c4f23862dec89be0925fa.htm,2026-07-13,
118,北京理工大学,教育学院,2026年北京理工大学教育学院优秀大学生暑期夏令营招生简章,https://se.bit.edu.cn/tzgg/ef87cb50db614d0095f744b35f9376c7.htm,2026-07-13,
119,长安大学,外国语学院,2026年长安大学外国语学院全国优秀大学生暑期夏令营活动通知,https://sfs.chd.edu.cn/info/1044/4010.htm,2026-07-11,
120,武汉体育学院,新闻传播学院,2026年武汉体育学院新闻传播学院优秀大学生学术夏令营招生简章,https://mp.weixin.qq.com/s/sGGGOM6cUhGkod4hHAAJVQ,2026-07-10,
121,山东大学,文化遗产研究院,2026年山东大学文化遗产研究院数智赋能双城共育AI考古与文化遗产保护前沿实践暑期学校招生简章,http://www.whycyjy.sdu.edu.cn/info/1102/7309.htm,2026-07-10,
